row,sentence,check_worthy,check_worthy_span,error
448,His former National Security Adviser has said he is dangerous and unfit.,True,has said he is dangerous and unfit,
451,"President Trump, I'll give you a quick minute to respond.",True,President Trump,
454,"Because when I hear that--see, I'm a different kind of a person.",False,,
482,You say you would use the National Guard.,True,You say you would use the National Guard,
488,"Uh, take us through this.",True,take us through this,
495,They allowed terrorists.,True,allowed terrorists,
497,"They allowed people to come in, drug dealers, to come into our country, and they're now in the United States.",True,They allowed people to come in,
499,Do you know that crime in Venezuela and crime in countries all over the world is way down?,True,crime in Venezuela and crime in countries all over the world is way down,
513,And we have a new form of crime.,True,a new form of crime,
530,"And address the needs of the American people, address what we need to do about the housing shortage, which I have a plan for.",True,address what we need to do about the housing shortage,
532,Address bringing down the price of groceries.,False,,
533,"But frankly, the American people are exhausted with the same old tired playbook.",False,,
555,"President Trump, thank you.",True,President Trump,
563,Understand what it would mean if Donald Trump were back in the White House with no guardrails.,True,Donald Trump were back in the White House,
564,"Because certainly, we know now the Court won't stop him.",True,Court won't stop him,
577,President Trump--,True,President Trump,
589,"So, my values have not changed.",True,my values,
594,I have not banned fracking as Vice President of the United States.,True,Vice President of the United States,
596,My position is that we have got to invest in diverse sources of energy so we reduce our reliance on foreign oil.,False,,
617,Fracking?,True,Fracking,
621,"She gave all that stuff up, very wrongly, very horribly.",True,She gave all that stuff up,
635,Now she wants to do transgender operations on illegal aliens that are in prison.,True,transgender operations on illegal aliens,
647,"But if she won the election, the day after that election, they'll go back to destroying our country and oil will be dead, fossil fuel will be dead.",True,if she won the election,
649,You ever see a solar plant?,True,solar plant,
655,We're out of time.,True,out of time,
664,Aides in the West Wing say you watched it unfold on television off the Oval Office.,True,Aides in the West Wing say you watched it unfold on television,
666,Is there anything you regret about what you did on that day?,True,what you did on that day,
676,That she allowed to pour in.,True,allowed to pour in,
681,"In fact, she said at the beginning, I'm surprised you're not talking about the border yet.",False,,
682,That's because she knows what a bad job they've done.,True,they've done,
686,And crime rates are down all over the world because of it--,True,crime rates are down all over the world,
724,"On that day, 140 law enforcement officers were injured.",True,140 law enforcement officers were injured,
731,Let's not go back.,False,,
733,It's time to turn the page.,False,,
761,"Go down to--because she's been so bad, it's so ridiculous.",True,she's been so bad,
788,"Look, there's so much proof.",True,so much proof,
801,"And a lot of these illegal immigrants coming in, they're trying to get them to vote.",True,a lot of these illegal immigrants,
816,That's how we lost.,True,lost,
829,But I do want to ask you about something that's come up in the last couple of days.,True,something that's come up in the last couple of days,
858,The XL pipeline in our country.,True,XL pipeline,
861,The biggest pipeline in the world.,True,The biggest pipeline in the world,
872,But he had 14 million votes.,True,14 million votes,
889,"Well, let's understand how we got here.",True,let's understand how we got here,
906,"President Trump, how would you negotiate with Netanyahu and also Hamas in order to get the hostages out and prevent the killing of more innocent civilians in Gaza?",True,President Trump,
911,But when she mentions about Israel all of a sudden--she hates Israel.,True,she hates Israel,
917,And I've been pretty good at predictions.,False,,
922,It would have never happened.,True,never happened,
966,And I just ask one question.,False,,
975,Back in a moment. [commercial break],False,,
976,Welcome back to this historic ABC news presidential debate tonight.,True,this historic ABC news presidential debate tonight,
995,They're into 100 to 150.,True,100 to 150,
996,They should be forced to equalize.,True,forced to equalize,
1002,They respect me.,False,,
1008,Hasn't spoken to anybody.,True,Hasn't spoken to anybody,
1010,That is a war that's dying to be settled.,True,That is a war,
1033,All right.,False,,
1040,I believe the reason that Donald Trump says that this war would be over within 24 hours is because he would just give it up.,True,Donald Trump says that this war would be over within 24 hours,
1047,"And through the work that I and others did, we brought 50 countries together to support Ukraine in its righteous defense.",True,50 countries,
1067,"Quiet, please.",False,,
1068,He would have been sitting in Moscow much happier than he is right now.,True,Moscow,
1074,And eventually uh maybe he'll use them.,True,maybe he'll use them,
1090,She goes down as the worst Vice President in the history of our country.,True,worst Vice President in the history of our country,
1094,As soon as they left Putin did the invasion.,True,Putin did the invasion,
1106,We've talked about Ukraine and Vladimir Putin.,True,Ukraine,
1107,I do want to talk about Afghanistan.,True,Afghanistan,
1112,He said I've never seen--he's the head of NATO.,True,he's the head of NATO,
1120,I want to turn to Afghanistan.,True,Afghanistan,
1121,"It came up in the first hour of the debate, and we witnessed a, a poignant moment today on Capitol Hill honoring the soldiers who died in the chaotic withdrawal from Afghanistan.",False,,
1123,"Well, I will tell you, I agreed with President Biden's decision to pull out of Afghanistan.",True,President Biden's decision to pull out of Afghanistan,
1128,Donald Trump when he was President negotiated one of the weakest deals you can imagine.,True,Donald Trump when he was President,
1131,And here's how it went down.,True,here's how it went down,
1146,"They don't bother doing that because you know, they deal with the wrong people all the time.",True,they deal with the wrong people all the time,
1162,I want to move on.,False,,
1175,I couldn't care less.,False,,
1178,"So, I'm asking --",False,,
1187,That's up to her.,False,,
1194,"Let's remember, this is the same individual who took out a full-page ad in The New York Times calling for the execution of five young Black and Latino boys who were innocent, the Central Park Five.",True,Central Park Five,
1202,"I meet with people all the time who tell me ""Can we please just have discourse about how we're going to invest in the aspirations and the ambitions and the dreams of the American people?"" Knowing that regardless of people's color or the language their grandmother speaks we all have the same dreams and aspirations and want a president who invests in those, not in hate and division.",False,,
1203,Vice President Harris thank you.,True,Vice President Harris,
1207,There's never been anything like it.,True,never been anything like it,
1221,"I don't know the gentleman, she says.",False,,
1232,And what I do offer is a new generation of leadership for our country.,False,,
1235,Let's talk about our plans.,False,,
1251,President Trump we do have to--,True,President Trump,
1253,That's what her plan is until just recently.,False,,
1254,"President Trump, President Trump.",True,President Trump,
1266,It's not very good today.,False,,
1280,We read about the bad ones.,False,,
1290,And it's too expensive for people.,False,,
1298,And there are concepts and options we we have to do that.,False,,
1311,So stop with the continuous lying about this stuff.,False,,
1313,"When Donald Trump was president, 60 times he tried to get rid of the Affordable Care Act.",True,60 times he tried to get rid of the Affordable Care Act,
1344,"Private, medical insurance.",True,"Private, medical insurance",
1352,"Vice President Harris, you call climate change an existential threat.",False,,
1368,"It includes growing what we can do around American manufacturing and opening up auto plants, not closing them like happened under Donald Trump.",False,,
1390,"This is a crooked administration, and they're selling our country down the tubes.",False,,
1391,"President Trump, thank you.",True,President Trump,
1399,And an attempt to take us backward.,False,,
1400,But we're not going back.,False,,
1428,"You believe in things like, we're not going to frack.",True,we're not going to frack,
1432,We're not ready for it.,False,,Extra data: line 5 column 1 (char 35)
1434,But I just ask one simple question.,False,,
1441,They call me.,True,They call,
1444,We're not a leader.,True,We're not a leader,
1447,We have wars going on with Russia and Ukraine.,True,wars going on with Russia and Ukraine,
1454,"The worst President, the worst Vice President in the history of our country.",True,"The worst President, the worst Vice President",
